time,station,bin_id,action
1745760843.0012314,,,Simulation start
1745760844.0257611,1,,5 bins called
1745760844.0257611,2,,4 bins called
1745760886.5012078,1,2775,Bin stored
1745760907.1695929,1,2774,Bin stored
1745760922.1584024,2,2775,Bin stored
1745760942.7574546,2,2138,Bin stored
1745760943.476605,,,Simulation end
