time,station,bin_id,action
1745738800.828876,,,Simulation start
1745738801.8448603,1,,19 bins called
1745738801.8448603,2,,26 bins called
1745738866.612672,1,2778,Bin stored
1745738887.1063676,1,2776,Bin stored
1745738888.3698704,2,2782,Bin stored
1745738900.8969302,,,Simulation end
