time,station,bin_id,action
1745728562.8940372,,,Simulation start
1745728563.9173205,1,,19 bins called
1745728563.9173205,2,,26 bins called
1745728628.603499,1,2778,Bin stored
1745728648.9330764,1,2776,Bin stored
1745728651.3050947,2,2782,Bin stored
1745728663.0842676,,,Simulation end
